gene	process	chr	gene_function	ENSG
MT-TS2	Translation (MT)	MT	MT-TS2: mitochondrially encoded tRNA serine 2 (AGU/C)	ENSG00000210184
MT-TT	Translation (MT)	MT	MT-TT: mitochondrially encoded tRNA threonine	ENSG00000210195
MT-TV	Translation (MT)	MT	MT-TV: mitochondrially encoded tRNA valine	ENSG00000210077
MT-TW	Translation (MT)	MT	MT-TW: mitochondrially encoded tRNA tryptophan	ENSG00000210117
MT-TY	Translation (MT)	MT	MT-TY: mitochondrially encoded tRNA tyrosine	ENSG00000210144
ABCA12	Transmembrane Transport	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCA9	Transmembrane Transport	NA	ATP binding; ATPase activity; coupled to transmembrane movement of substances; transporter activity	NA
ABCE1	Transmembrane Transport	NA	ATP binding; ATPase activity; iron-sulfur cluster binding; ribonuclease inhibitor activity; ribosomal small subunit binding	NA
ACO2	Tricarboxylic Acid Cycle	NA	4 iron 4 sulfur cluster binding; aconitate hydratase activity	NA
CS	Tricarboxylic Acid Cycle	NA	citrate (Si)-synthase activity	NA
DLD	Tricarboxylic Acid Cycle	NA	dihydrolipoyl dehydrogenase activity; flavin adenine dinucleotide binding	NA
DLST	Tricarboxylic Acid Cycle	NA	dihydrolipoyllysine-residue succinyltransferase activity	NA
FH	Tricarboxylic Acid Cycle	NA	fumarate hydratase activity	NA
IDH1	Tricarboxylic Acid Cycle	NA	isocitrate dehydrogenase (NADP+) activity; magnesium ion binding; NAD binding	NA
IDH2	Tricarboxylic Acid Cycle	NA	isocitrate dehydrogenase (NADP+) activity; magnesium ion binding; NAD binding	NA
IDH3A	Tricarboxylic Acid Cycle	NA	isocitrate dehydrogenase (NAD+) activity; magnesium ion binding; NAD binding	NA
IDH3B	Tricarboxylic Acid Cycle	NA	isocitrate dehydrogenase (NAD+) activity; magnesium ion binding; NAD binding	NA
IDH3G	Tricarboxylic Acid Cycle	NA	isocitrate dehydrogenase (NAD+) activity; magnesium ion binding; NAD binding	NA
MDH1	Tricarboxylic Acid Cycle	NA	L-malate dehydrogenase activity	NA
MDH2	Tricarboxylic Acid Cycle	NA	L-malate dehydrogenase activity; malate dehydrogenase activity	NA
OGDH	Tricarboxylic Acid Cycle	NA	oxoglutarate dehydrogenase (succinyl-transferring) activity; thiamine pyrophosphate binding	NA
OGDHL	Tricarboxylic Acid Cycle	NA	oxoglutarate dehydrogenase (succinyl-transferring) activity; thiamine pyrophosphate binding	NA
PPTC7	Tricarboxylic Acid Cycle	NA	catalytic activity	NA
SUCLA2	Tricarboxylic Acid Cycle	NA	ATP binding; metal ion binding; succinate-CoA ligase (ADP-forming) activity	NA
SUCLG1	Tricarboxylic Acid Cycle	NA	ATP citrate synthase activity; cofactor binding; succinate-CoA ligase (ADP-forming) activity; succinate-CoA ligase (GDP-forming) activity	NA
SUCLG2	Tricarboxylic Acid Cycle	NA	ATP binding; metal ion binding; succinate-CoA ligase (ADP-forming) activity	NA
BRP44	Tricarboxylic Acid Cycle	1	BRP44: Mitochondrial pyruvate carrier 2	ENSG00000143158
BRP44L	Tricarboxylic Acid Cycle	6	BRP44L: Mitochondrial pyruvate carrier 1	ENSG00000060762
PDHX	Tricarboxylic Acid Cycle	11	PDHX: Catalyzes the conversion of pyruvate to acetyl coenzyme A	ENSG00000110435
COQ2	Ubiquinone Biosynthesis	NA	4-hydroxybenzoate octaprenyltransferase activity	NA
COQ3	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1; 4-benzoquinone methyltransferase activity; hexaprenyldihydroxybenzoate methyltransferase activity	NA
COQ4	Ubiquinone Biosynthesis	NA		NA
COQ5	Ubiquinone Biosynthesis	NA	2-polyprenyl-6-methoxy-1; 4-benzoquinone methyltransferase activity	NA
COQ6	Ubiquinone Biosynthesis	NA	flavin adenine dinucleotide binding; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; NAD(P)H as one donor; and incorporation of one atom of oxygen	NA
COQ7	Ubiquinone Biosynthesis	NA	metal ion binding; oxidoreductase acitivity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, incorporation of one atom of oxygen	NA
COQ9	Ubiquinone Biosynthesis	NA	lipid binding	NA
PDSS1	Ubiquinone Biosynthesis	NA	trans-hexaprenyltranstransferase activity	NA
PDSS2	Ubiquinone Biosynthesis	NA	trans-hexaprenyltranstransferase activity	NA
ARG1	Urea Cycle	6	ARG1: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	ENSG00000118520
ASL	Urea Cycle	7	ASL: Argininosuccinate lyase catalyzes the reaction where Argininosuccinate is cleaved of its nitrogen and carbon skeleton forming arginine and fumarate respectively	ENSG00000126522
OTC	Urea Cycle	X	OTC: Ornithine transcarbamoylase catalyzes the step in which carbamoyl phosphate combines with ornithine to form citruline	ENSG00000036473
